County,2011_count,2012_count,2013_count,2014_count,2011_weight,2012_weight,2013_weight,2014_weight,total_heat,total_heat_norm,Hour,latitude,length_of_encounter_seconds,longitude,Autumn,Spring,Summer,Winter,Elongated-Symmetric,Light-Only,Other,Rounded,Tapered,Unknown
"Crook County, Wyoming",1.0,0.0,1.0,0.0,2.284655096e-05,2.274791282e-05,2.262386769e-05,2.272691515e-05,70463.27692513276,0.12101995001569552,20.0,44.635972249999995,11.0,-104.6486111,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Cross County, Arkansas",0.0,1.0,0.0,0.0,5.716131303e-05,5.640934313e-05,5.544730534e-05,5.397720889e-05,14182.047788720634,0.02435752053278414,21.0,35.2244444,240.0,-90.7866667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"Crow Wing County, Minnesota",2.0,2.0,1.0,0.0,0.0002011735424,0.0002001395719,0.0001993647247,0.0001982525924,18975.352610615413,0.03258997203474933,17.0,46.40977782,274.4,-94.20377782,0.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0
"Cullman County, Alabama",1.0,0.0,1.0,1.0,0.0002580909192,0.0002558032908,0.00025535318,0.000254689737,12130.425662095968,0.020833880729897638,14.666666666666666,34.17953703333333,200.0,-86.86805553333333,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
"Culpeper County, Virginia",1.0,0.0,1.0,0.0,0.0001519626237,0.0001524514835,0.000153819515,0.000154686912,10449.464990865072,0.017946848146572606,11.0,38.4730556,3607.5,-77.9969444,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
"Cumberland County, Maine",9.0,18.0,11.0,3.0,0.0009074073583,0.0009038145022,0.0009036160735,0.0009050741052,39028.7736929133,0.06703151552983726,18.853658536585368,43.73875385609756,690.0,-70.3236938292683,10.0,8.0,13.0,10.0,2.0,18.0,5.0,10.0,3.0,3.0
"Cumberland County, New Jersey",0.0,2.0,0.0,1.0,0.0005040588512,0.0005000589649,0.0004939908378,0.0004901303988,6260.032722611041,0.010751541515617344,15.333333333333334,39.39546296666666,405.0,-75.00083333333333,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
"Cumberland County, North Carolina",7.0,5.0,8.0,2.0,0.001060811131,0.001051473597,0.001053808934,0.001044181425,18227.992326918407,0.03130638847003908,17.09090909090909,35.04411100454546,1486.5,-78.8847991090909,2.0,1.0,7.0,12.0,1.0,4.0,3.0,8.0,4.0,2.0
"Cumberland County, Pennsylvania",2.0,5.0,6.0,0.0,0.0007610392188,0.0007623338919,0.0007628601094,0.0007643079786,14688.97391942983,0.025228160924165022,18.076923076923077,40.231267646153846,314.38461538461536,-77.02916490769232,7.0,2.0,4.0,0.0,1.0,3.0,0.0,7.0,2.0,0.0
"Cumberland County, Tennessee",1.0,0.0,1.0,1.0,0.0001814339683,0.0001815945583,0.000181769438,0.0001819786886,17051.18656707657,0.029285236737547845,19.0,35.9488889,300.0,-85.0269444,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
"Currituck County, North Carolina",2.0,1.0,0.0,0.0,7.673077372e-05,7.655394389e-05,7.675152653e-05,7.797650455e-05,26089.244259396026,0.044808007433063755,22.0,36.38083673333333,400.0,-75.83248153333334,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
"Curry County, New Mexico",1.0,1.0,0.0,3.0,0.0001599033889,0.0001618896846,0.0001606835756,0.0001605681374,36719.387808633066,0.06306516913667282,20.8,34.4066111,198.0,-103.25938885999999,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
"Curry County, Oregon",0.0,1.0,1.0,1.0,7.217943777e-05,7.092033836e-05,7.033684198e-05,6.955994308e-05,47061.69721987912,0.08082797868249776,14.0,42.0527778,303.3333333333333,-124.2827778,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
"Custer County, Colorado",1.0,0.0,0.0,0.0,1.356092692e-05,1.34435417e-05,1.348444541e-05,1.363489242e-05,44244.76317434502,0.07598992356691948,20.0,37.996388,120.0,-105.699733,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Custer County, Idaho",1.0,0.0,1.0,0.0,1.388189561e-05,1.378767597e-05,1.337051909e-05,1.298142292e-05,118013.17470944734,0.20268640812299193,11.0,44.235416650000005,2100.0,-114.67291664999999,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
"Custer County, Montana",1.0,1.0,0.0,0.0,3.773949793e-05,3.759348304e-05,3.757353212e-05,3.77252968e-05,37178.746811811696,0.06385411347803525,12.0,46.4083333,270.0,-105.84,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"Custer County, South Dakota",1.0,0.0,0.0,0.0,2.678804641e-05,2.649515269e-05,2.659546567e-05,2.64780814e-05,22398.049891985385,0.03846841924847109,1.0,43.7666667,300.0,-103.5983333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Cuyahoga County, Ohio",15.0,23.0,24.0,5.0,0.0040773647,0.004034356199,0.00400464294,0.003968573672,14651.02630804287,0.025162986293723915,17.388059701492537,41.44236809552239,703.2462686567164,-81.7075642074627,21.0,10.0,30.0,6.0,2.0,24.0,4.0,23.0,8.0,6.0
"Dade County, Georgia",0.0,1.0,0.0,0.0,5.328080163e-05,5.26334254e-05,5.206749128e-05,5.117483008e-05,15199.466763187334,0.02610492710835121,5.0,34.8719444,10.0,-85.5091667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Dade County, Missouri",1.0,0.0,0.0,0.0,2.492642804e-05,2.408302634e-05,2.38327525e-05,2.386420341e-05,24070.83754788959,0.041341414762425005,6.0,37.4152778,15.0,-93.8408333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Dakota County, Minnesota",7.0,13.0,10.0,3.0,0.001289559093,0.001289270381,0.001290832636,0.001293508313,22549.353522019912,0.03872828166962171,18.333333333333332,44.726144775757575,670.0909090909091,-93.17594276363637,12.0,6.0,12.0,3.0,1.0,6.0,5.0,15.0,4.0,2.0
"Dakota County, Nebraska",0.0,0.0,2.0,0.0,6.679679293e-05,6.600367924e-05,6.57133323e-05,6.455210472e-05,30435.224177483993,0.0522721830349882,9.5,42.4738889,9900.0,-96.4133333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"Dallas County, Alabama",0.0,1.0,0.0,0.0,0.0001388221657,0.0001363440876,0.0001328380851,0.0001305493824,5867.507818505509,0.01007738404881035,19.0,32.4072222,7200.0,-87.0211111,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"Dallas County, Arkansas",0.0,0.0,1.0,0.0,2.585723722e-05,2.533847916e-05,2.497518028e-05,2.416266303e-05,40039.75101636383,0.06876785863634619,0.0,33.8136111,600.0,-92.4127778,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Dallas County, Iowa",3.0,2.0,1.0,0.0,0.0002237023344,0.0002301716602,0.0002371850972,0.0002442310833,19213.85698094205,0.03299960082629876,20.666666666666668,41.69083333333334,290.0,-93.95013888333334,1.0,0.0,4.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0
"Dallas County, Missouri",2.0,1.0,0.0,0.0,5.356004439e-05,5.319423681e-05,5.208331438e-05,5.131934738e-05,37443.98431111044,0.0643096561423585,13.0,37.6343963,85.0,-93.03252223333334,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
"Dallas County, Texas",10.0,17.0,24.0,3.0,0.007731163075,0.007825645262,0.007862453847,0.007915180715,6134.965638754232,0.01053674009142242,15.425925925925926,32.81791150555556,5258.833333333333,-96.78734052962963,18.0,11.0,15.0,10.0,2.0,17.0,5.0,18.0,10.0,2.0
"Dane County, Wisconsin",5.0,9.0,14.0,2.0,0.001592033562,0.001602461248,0.001613202971,0.001621992978,16905.434388921676,0.029034908877636854,17.3,43.05305557333334,492.46666666666664,-89.39849074,6.0,4.0,14.0,6.0,2.0,12.0,4.0,7.0,3.0,2.0
"Danville City, Virginia",2.0,1.0,1.0,1.0,0.0001368770955,0.0001360764276,0.0001348855942,0.0001327768337,33356.87977113633,0.057290096327362615,13.4,36.584802839999995,2172.0,-79.37198764,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0
