id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23687940,Spacious * Work Space * Ideal for Extended Stay,4843543,Yarrow,Other neighborhoods,Greenwood,47.69579,-122.35053,Entire home/apt,147,30,19,2024-03-07,0.29,1,111,4,STR-OPLI-23-000751
23688200,The Zen House,245266,Michelle,Other neighborhoods,Wedgwood,47.69207,-122.28083,Entire home/apt,307,30,39,2020-11-09,0.61,2,143,0,
23698647,Seattle Vacation Home: The Campus; 8 bedrooms - sleeps up to 23!,54812088,Seattle Vacation Home,Central Area,Madrona,47.61666,-122.28984,Entire home/apt,425,30,89,2024-02-04,1.26,48,251,13,STR-OPLI-19-002897
23699002,"Seattle Vacation Home: The Arboretum - 7 bedroom masterpiece, sleeps up to 28!",54812088,Seattle Vacation Home,Capitol Hill,Montlake,47.63652,-122.30155,Entire home/apt,859,30,42,2022-02-27,0.60,48,365,0,
23699282,"Seattle Vacation Home: Thomas Lodge ""Philly"" - Bright 1 Bed/1 Bath",54812088,Seattle Vacation Home,Central Area,Mann,47.62078,-122.29719,Entire home/apt,160,30,32,2024-02-10,0.45,48,365,2,
23699409,"Seattle Vacation Home: House of Suffrage - 5 bedroom, sleeps 16!",54812088,Seattle Vacation Home,Central Area,Mann,47.61134,-122.30069,Entire home/apt,365,30,95,2024-03-21,1.36,48,250,29,STR-OPLI-20-000013
23699597,"Seattle Vacation Home: The Big Top - Modern 5 bedroom, gameroom, sleeps 20",54812088,Seattle Vacation Home,Central Area,Mann,47.61663,-122.29963,Entire home/apt,669,30,56,2020-03-01,0.80,48,361,0,
23699817,Seattle Vacation Home: Fields of Dreams - Great Location | 2 Master Suites! | 5,54812088,Seattle Vacation Home,Central Area,Mann,47.61946,-122.30001,Entire home/apt,598,30,65,2020-01-27,0.92,48,365,0,
23700108,Seattle Vacation Home: Life's A Game - 3 bedrooms each w/ dedicated bath,54812088,Seattle Vacation Home,Central Area,Mann,47.62129,-122.29701,Entire home/apt,195,1,63,2024-02-24,0.91,48,281,11,STR-OPLI-19-003246
23700263,Seattle Vacation Home: The Vineyard: 3 bedroom/2.5 bathroom,54812088,Seattle Vacation Home,Capitol Hill,Stevens,47.62196,-122.30847,Entire home/apt,266,30,139,2023-12-27,1.99,48,246,13,STR-OPLI-19-002964
