id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1010888293831243590,Townhouse in Seattle · ★New · 3 bedrooms · 4 beds · 2 baths,398317720,Joanne,Cascade,Eastlake,47.6403296,-122.3248964,Entire home/apt,158,1,0,,,56,332,0,STR-OPLI-23-001356
1010889182182337144,Home in Seattle · ★5.0 · 1 bedroom · 3 beds · 1 bath,375925557,Nate,Other neighborhoods,Roosevelt,47.68012,-122.31528,Entire home/apt,94,1,4,2023-12-17,2.55,2,165,4,STR-OPLI-23-000845
1010891903736711324,Home in Seattle · ★New · 4 bedrooms · 4 beds · 3 baths,121688409,Evolve,West Seattle,Arbor Heights,47.51581,-122.37695,Entire home/apt,173,2,2,2023-11-25,1.43,54,213,2,STR-OPLI-23-001086
1010904650821182599,Home in Seattle · ★New · 3 bedrooms · 3 beds · 2 baths,543591247,Vivek,Northgate,North College Park,47.7032531,-122.3405503,Entire home/apt,135,2,1,2023-11-26,1,1,258,1,STR-OPLI-23-001459
1010976476345152528,Home in Seattle · ★New · 1 bedroom · 1 bed · 1.5 baths,239466671,Andy,Lake City,Olympic Hills,47.7244908,-122.2938894,Private room,,31,0,,,1,269,0,
1010986969386325989,Townhouse in Seattle · ★New · 2 bedrooms · 3 beds · 2 baths,543607143,Aubrey,Other neighborhoods,Fremont,47.65719409749677,-122.35108908204998,Entire home/apt,223,1,0,,,1,234,0,STR-OPLI-22-001646
1011055453270320791,Home in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,86433687,Elina,Lake City,Olympic Hills,47.72658730073213,-122.3028464142264,Private room,52,2,2,2023-11-07,1.13,6,90,2,STR-OPLI-22-001889
1011067093253206635,Home in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,86433687,Elina,Lake City,Olympic Hills,47.7254008,-122.3036351,Private room,67,2,0,,,6,90,0,STR-OPLI-22-001889
1011493111470247609,Home in Seattle · ★New · 4 bedrooms · 4 beds · 2.5 baths,49370212,Tina,Queen Anne,North Queen Anne,47.64783405195513,-122.35861986407339,Entire home/apt,200,30,0,,,5,263,0,
1011511654549805300,Townhouse in Seattle · ★5.0 · 2 bedrooms · 3 beds · 2 baths,134452622,Kelly,Capitol Hill,Broadway,47.623563990362264,-122.31921125449092,Entire home/apt,121,2,9,2023-12-19,6.28,2,161,9,STR-OPLI-21-000361
1011590462416278033,Rental unit in Seattle · ★New · 2 bedrooms · 4 beds · 2 baths,543355391,Kevin,Downtown,Central Business District,47.613138721454284,-122.33096669033947,Entire home/apt,114,1,1,2023-11-17,0.86,1,153,1,STR-OPLI-23-001355
1012273978357374108,Home in Seattle · ★New · 1 bedroom · 1 bed · 1 private bath,61462577,Cynthia,Other neighborhoods,Wedgwood,47.68621,-122.29184,Private room,,30,0,,,1,143,0,
1012350687281484180,Rental unit in Seattle · ★4.88 · 3 bedrooms · 3 beds · 2 baths,340706410,Vince,Central Area,Leschi,47.5940489096054,-122.29580805392635,Entire home/apt,160,1,8,2023-12-18,5.45,83,311,8,STR-OPLI-22-001148
1012403644076732882,Home in Seattle · ★New · 2 bedrooms · 2 beds · 1.5 baths,82113427,Lisa,Rainier Valley,Columbia City,47.54916936518945,-122.27827737052306,Entire home/apt,,30,0,,,1,106,0,
1012664221581260506,Home in Seattle · ★5.0 · 3 bedrooms · 7 beds · 2 baths,7435040,Vacation Rental LLC,Capitol Hill,Stevens,47.62954104630926,-122.30115349732657,Entire home/apt,186,1,3,2023-12-17,2.31,19,351,3,STR-OPLI-19-003321
1012678228364878701,Rental unit in Seattle · ★4.38 · 1 bedroom · 1 bed · 1 bath,534604076,Olivia,Downtown,Pike-Market,47.608772167323586,-122.33928936630079,Entire home/apt,115,2,8,2023-11-27,5.22,5,34,8,STR-OPLI-19-001663
1012716554375613266,Home in Seattle · ★New · 10 bedrooms · 15 beds · 4 baths,7435040,Vacation Rental LLC,Northgate,Haller Lake,47.723189106852246,-122.3357587156171,Entire home/apt,814,1,0,,,19,359,0,STR-OPLI-19-003321
1013218058594854944,Home in Seattle · ★New · 1 bedroom · 1 bed · 1.5 shared baths,49370212,Tina,Queen Anne,North Queen Anne,47.64622,-122.35887,Private room,52,30,0,,,5,155,0,
1013323453095350330,Home in Seattle · ★New · 1 bedroom · 1 bed · 1 private bath,544039741,Sky,Queen Anne,East Queen Anne,47.632964,-122.345494,Private room,55,30,0,,,7,269,0,
1013456588491759495,Home in Seattle · ★5.0 · 1 bedroom · 1 bed · 1 bath,544058018,Nai Ming,Queen Anne,East Queen Anne,47.633743847884,-122.3462635993886,Private room,54,1,4,2023-12-08,2.61,7,86,4,STR-OPLI-23-001388
1013519278387524756,Rental unit in Seattle · ★New · 1 bedroom · 1 bath,47332984,Keith,Downtown,Pike-Market,47.609036729642824,-122.33892370740966,Entire home/apt,202,5,1,2023-12-08,1,3,152,1,STR-OPLI-23-001144
1013716033353498166,Home in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,14047413,Ashley,Rainier Valley,Brighton,47.53714091143763,-122.27478307361989,Entire home/apt,99,1,0,,,1,90,0,STR-OPLI-23-001414
1013836814373983990,Home in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,115260507,Chantal,Northgate,North College Park,47.70254699430464,-122.34220075128991,Entire home/apt,125,30,0,,,7,159,0,
1013849832204397102,Home in Seattle · ★5.0 · 3 bedrooms · 3 beds · 2 baths,194188875,Vayna,Delridge,South Delridge,47.52854869999999,-122.3581375,Entire home/apt,196,3,5,2023-11-09,3.19,1,260,5,STR-OPLI-23-001397
1014058255456098988,Home in Seattle · ★New · 2 bedrooms · 2 beds · 1 bath,534560689,Kevin & Kiki,Other neighborhoods,Bitter Lake,47.72142,-122.35145,Entire home/apt,95,30,0,,,3,132,0,
1014118293471535018,Home in Seattle · ★New · 2 bedrooms · 2 beds · 1 bath,534560689,Kevin & Kiki,Other neighborhoods,Bitter Lake,47.72312,-122.3527,Entire home/apt,95,30,0,,,3,291,0,
1014157170861454100,Home in Seattle · ★New · 3 bedrooms · 4 beds · 3.5 baths,243789615,Ben,Central Area,Minor,47.60649555704047,-122.30403440240613,Entire home/apt,231,1,1,2023-11-05,0.64,1,284,1,STR-OPLI-23-001381
1014294977543621063,Rental unit in Seattle · ★New · Studio · 1 bed · 1 bath,107434423,Blueground,Capitol Hill,Broadway,47.61483990000001,-122.3241666,Entire home/apt,123,31,0,,,389,318,0,
1014295448749562592,Rental unit in Seattle · ★New · Studio · 1 bed · 1 bath,107434423,Blueground,Ballard,West Woodland,47.6691993,-122.3740343,Entire home/apt,102,31,0,,,389,325,0,
1014295940619378157,Rental unit in Seattle · ★New · Studio · 1 bed · 1 bath,107434423,Blueground,Capitol Hill,Broadway,47.61483990000001,-122.3241666,Entire home/apt,128,31,0,,,389,268,0,
1014492686223429408,Home in Seattle · ★New · 2 bedrooms · 2 beds · 1.5 baths,115945558,Jason,Magnolia,Briarcliff,47.6341,-122.39845,Private room,143,1,0,,,2,266,0,STR-OPLI-20-000876
1014505032295685219,Condo in Seattle · ★New · 2 bedrooms · 2 beds · 2 baths,80333752,Ashley & Mike,Downtown,Belltown,47.61497106694181,-122.34709269566576,Entire home/apt,142,2,1,2023-12-02,1,34,340,1,STR-OPLI-23-001291
1014541858767895023,Rental unit in Seattle · ★New · 1 bedroom · 1 bed · 1 private bath,340706410,Vince,Capitol Hill,Broadway,47.62454,-122.3149,Private room,71,1,1,2023-12-09,1,83,358,1,STR-OPLI-23-001508
1014568698407475500,Bungalow in Seattle · ★5.0 · 2 bedrooms · 2 beds · 1 bath,92742089,Crystal,Central Area,Minor,47.6107598,-122.3151631,Entire home/apt,130,1,6,2023-11-26,3.75,11,71,6,STR-OPLI-23-001337
1014581902039021368,Home in Seattle · ★New · 5 bedrooms · 6 beds · 5 baths,454023891,Jesse,West Seattle,North Admiral,47.57303873705361,-122.37323797717568,Entire home/apt,964,1,0,,,5,212,0,STR-OPLI-23-000882
1014612496854085663,Home in Seattle · ★New · Studio · 2 beds · 1 bath,454023891,Jesse,West Seattle,North Admiral,47.57327276561103,-122.37151499538348,Entire home/apt,123,1,0,,,5,46,0,STR-OPLI-23-000882
1014672293815733982,Home in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,544058018,Nai Ming,Queen Anne,East Queen Anne,47.632475543676144,-122.34624568558607,Private room,54,1,2,2023-11-13,1.25,7,89,2,STR-OPLI-23-001388
1014689384086975437,Home in Seattle · ★4.67 · 1 bedroom · 1 bed · 1 bath,544058018,Nai Ming,Queen Anne,East Queen Anne,47.63338,-122.34666,Private room,54,1,3,2023-12-04,1.88,7,80,3,STR-OPLI-23-001388
1014715992406744081,Home in Seattle · ★New · 3 bedrooms · 4 beds · 2.5 baths,79676296,Nick,Other neighborhoods,Phinney Ridge,47.6800867,-122.3475479,Entire home/apt,119,30,0,,,2,79,0,
1014815845625106091,Home in Seattle · ★New · 1 bedroom · 1 bed · 1 private bath,544039741,Sky,Queen Anne,East Queen Anne,47.632964,-122.345494,Private room,40,30,0,,,7,269,0,
1014827820340937547,Condo in Seattle · ★5.0 · 1 bedroom · 2 beds · 1 bath,398339477,Ginny,Downtown,Pike-Market,47.60866,-122.33964,Entire home/apt,147,2,8,2023-12-19,5.71,5,73,8,STR-OPLI-22-000119
1014827868495863397,Home in Seattle · ★New · 1 bedroom · 1 bed · 1 private bath,544039741,Sky,Queen Anne,East Queen Anne,47.63227236549863,-122.34478203912312,Private room,60,30,0,,,7,269,0,
