id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
30114679,Home in Seattle · ★4.85 · 1 bedroom · 2 beds · 1 bath,108049935,Talman,Magnolia,Southeast Magnolia,47.6353,-122.39651,Entire home/apt,130,4,27,2023-07-17,0.49,1,179,3,STR-OPLI-20-000111
30130482,Home in Seattle · ★4.95 · 2 bedrooms · 2 beds · 2 baths,9060841,Ruby,Queen Anne,North Queen Anne,47.64397,-122.37382,Entire home/apt,291,2,20,2023-09-15,0.34,6,106,17,STR-OPLI-22-000938
30130681,Rental unit in Seattle · ★4.86 · 1 bedroom · 1 bed · 1 bath,100208194,Brandon,Capitol Hill,Broadway,47.61676,-122.3173,Entire home/apt,136,1,301,2023-09-01,5.14,6,154,56,STR-OPLI-21-000199
30161231,Guesthouse in Seattle · ★4.89 · 2 bedrooms · 4 beds · 1 bath,50487726,Abigail & Justin,West Seattle,Fairmount Park,47.55023,-122.38325,Entire home/apt,168,1,208,2023-09-14,3.62,1,78,31,STR-OPLI-19-001448
30176806,Guest suite in Seattle · ★4.95 · 1 bedroom · 2 beds · 1 bath,22653808,Ashley,Rainier Valley,Columbia City,47.57474,-122.29844,Entire home/apt,116,2,121,2023-06-12,2.09,1,139,30,STR-OPLI-19-002067
30188933,Condo in Seattle · ★5.0 · 1 bedroom · 2 beds · 1 bath,26815448,Dina,Other neighborhoods,View Ridge,47.68362,-122.26493,Entire home/apt,66,30,4,2023-07-31,0.45,2,72,4,
30228341,Townhouse in Seattle · ★4.76 · 3 bedrooms · 4 beds · 2 baths,292885274,Keyi,Central Area,Atlantic,47.60101,-122.31252,Entire home/apt,220,30,17,2023-09-02,0.34,1,365,1,STR-OPLI-19-000552
30234326,Condo in Seattle · ★4.93 · Studio · 1 bed · 1 bath,86157147,Lyle,Downtown,Belltown,47.61664,-122.34518,Entire home/apt,176,3,152,2023-09-15,3.39,17,65,39,STR-OPLI-19-003076
30237428,Guest suite in Seattle · ★4.96 · 2 bedrooms · 2 beds · 1 bath,18228620,Victoria,Other neighborhoods,Laurelhurst,47.65649,-122.28397,Entire home/apt,225,3,57,2023-08-04,1.04,1,156,11,STR-OPLI-19-002773
30290674,Guest suite in Seattle · ★4.89 · Studio · 1 bed · Half-bath,4371576,Ellen/ Tom,Other neighborhoods,Broadview,47.71185,-122.35835,Entire home/apt,100,30,44,2023-06-10,0.79,1,142,2,STR-OPLI-19-003494
30321371,Home in Seattle · ★5.0 · 3 bedrooms · 3 beds · 2 baths,8570638,Brian And Leslie,Ballard,Sunset Hill,47.67067,-122.4,Entire home/apt,395,4,19,2023-09-05,0.36,1,253,13,STR-OPLI-23-000119
30417137,Rental unit in Seattle · ★4.89 · Studio · 1 bed · 1 bath,228162888,Khoi,Downtown,First Hill,47.60708,-122.31684,Entire home/apt,65,30,114,2021-12-01,2.05,1,0,0,STR-OPLI-19-001746
30421688,Home in Seattle · ★4.67 · 2 bedrooms · 2 beds · 1 bath,228409668,Edward,Lake City,Olympic Hills,47.72265,-122.31229,Entire home/apt,130,30,33,2022-01-25,0.60,1,260,0,839753
30426117,Guest suite in Seattle · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,56004960,Andrew,Other neighborhoods,Wallingford,47.66575,-122.33411,Private room,68,30,60,2023-08-12,1.03,10,167,4,
30426797,Home in Seattle · ★4.89 · 4 bedrooms · 5 beds · 1.5 baths,204886779,Jennifer,Other neighborhoods,Wedgwood,47.68768,-122.28294,Entire home/apt,180,2,47,2023-07-24,0.85,11,151,12,STR-OPLI-19-003391
30430318,Home in Seattle · ★4.43 · 5 bedrooms · 7 beds · 3 baths,5325329,Blair,Other neighborhoods,North Beach/Blue Ridge,47.69123,-122.39128,Entire home/apt,383,30,117,2021-12-27,2.02,9,0,0,STR-OPLI-19-000632
